スキル名,タイプ0攻1防2ダ3支4移,ダメージ,コスト,射程min,射程max,爆発,切断,連1,連2,全体,転倒,memo,dice,san,move
こぶし(怪力),0,2,2,0,0,0,0,0,0,0,0,,0,0,0
あご(怪力),0,2,2,0,0,0,0,0,0,0,0,,0,0,0
火炎瓶,0,1,2,0,1,1,0,1,0,0,0,命中後、火炎瓶(2撃目)を使用できる。,-1,0,0
火炎瓶(2撃目),0,1,0,0,1,1,0,0,0,0,0,,-1,0,0
ほね(左方向),4,0,3,0,0,0,0,0,0,0,0,,0,0,-1
ほね(右方向),4,0,3,0,0,0,0,0,0,0,0,,0,0,1
せぼね,3,0,1,0,0,0,0,0,0,0,0,次の行動のコストを-1(手動),0,0,0
かばう,4,0,0,0,0,0,0,0,0,0,0,敵の攻撃の宣言前に宣言可能。攻撃対象を自分に変更する。(手動),0,0,1
再生,1,1,1,0,0,0,0,0,0,0,0,防御1。１ターンに何度でも使える。一つの攻撃に対して一回まで使用可能。,0,0,0
やぶれひまく,1,2,0,0,0,0,0,0,0,0,0,防御2。ターンに一度のみ発動可能。,0,0,0
うで,3,0,1,0,0,0,0,0,0,0,0,支援１。ターンに一度のみ発動可能。,1,0,0
あし,3,0,1,0,0,0,0,0,0,0,0,妨害１。ターンに一度のみ発動可能。,-1,0,0
地獄の住人,3,0,0,0,0,0,0,0,0,0,0,「地獄」にいるときのみ、自分の攻撃判定＋１。,1,0,0
