スキル名,タイプ0攻1防2ダ3支4移,ダメージ,コスト,射程min,射程max,爆発,切断,連1,連2,全体,転倒,memo,dice,san,move
こぶし,0,1,2,0,0,0,0,0,0,0,0,,0,0,0
あご,0,1,2,0,0,0,0,0,0,0,0,,0,0,0
アンデッドガン,0,1,2,1,2,1,0,0,0,1,0,,0,0,0
レーザービーム,0,1,2,0,3,0,1,0,0,0,0,,0,0,0
ほね(左方向),4,0,3,0,0,0,0,0,0,0,0,,0,0,-1
ほね(右方向),4,0,3,0,0,0,0,0,0,0,0,,0,0,1
せぼね,3,0,1,0,0,0,0,0,0,0,0,次の行動のコストを-1(手動),0,0,0
発勁(左方向),4,0,0,0,0,0,0,0,0,0,0,発勁はターンに一度のみ発動可能。自分は対象にできない。,0,0,-1
発勁(右方向),4,0,0,0,0,0,0,0,0,0,0,発勁はターンに一度のみ発動可能。自分は対象にできない。,0,0,1
死の舞踏,3,0,0,0,0,0,0,0,0,0,0,攻撃が失敗した時、その攻撃をコスト0で再使用できる(手動)。ターンに一度のみ発動可能。,0,0,0
助言(支援),3,0,0,0,2,0,0,0,0,0,0,支援１。助言はターンに一度のみ発動可能。,1,1,0
助言(妨害),3,0,0,0,2,0,0,0,0,0,0,支援１。助言はターンに一度のみ発動可能。,-1,1,0
うで,3,0,1,0,0,0,0,0,0,0,0,支援１。ターンに一度のみ発動可能。,1,0,0
あし,3,0,1,0,0,0,0,0,0,0,0,妨害１。ターンに一度のみ発動可能。,-1,0,0
ボルトヘッド,3,0,1,0,0,0,0,0,0,0,0,支援２、自身にのみ使用可能。ターンに一度のみ発動可能。,2,0,0
